incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
06006049,0,060060490,Mission St. / New Montgomery St.,2006-01-22T00:00:00.000,060220096,2006-01-22T08:09:25.000,2006-01-22T08:12:35.000,2006-01-22T08:29:35.000,SF,94111,B03,01,,1,4,0,0,0,0,E01,0,0,0,0,0,0,1,"500 - Service Call, other",None,"00 - Action taken, other",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial District/South Beach,POINT (-122.400504 37.787451),2006-01-22T09:47:34.000,2024-04-27T02:16:45.000
06006052,0,060060520,2360 San Bruno Av.,2006-01-22T00:00:00.000,060220099,2006-01-22T08:35:41.000,2006-01-22T08:37:56.000,2006-01-22T10:03:24.000,SF,94124,B10,42,,4,10,0,0,0,0,E42,0,0,0,0,0,0,1,"400 - Hazardous condition, other",None,86 - Investigate,,,,549 - Specialty shop,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Portola,POINT (-122.4051653 37.732609),2006-01-22T11:24:19.000,2024-04-27T02:16:45.000
06006053,0,060060530,141 Farragut Av.,2006-01-22T00:00:00.000,060220101,2006-01-22T08:36:19.000,2006-01-22T08:39:28.000,2006-01-22T08:55:15.000,SF,94112,B09,33,,8,30,0,0,0,0,E33,0,0,0,0,0,0,1,"500 - Service Call, other",None,86 - Investigate,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Outer Mission,POINT (-122.4519224 37.71210847),2006-01-22T13:59:39.000,2024-04-27T02:16:45.000
06006055,0,060060550,1257 10th Av.,2006-01-22T00:00:00.000,060220106,2006-01-22T08:59:37.000,2006-01-22T09:04:46.000,2006-01-22T09:07:38.000,SF,94122,B08,22,,1,4,0,0,0,0,E12,0,0,0,0,0,0,1,"150 - Outside rubbish fire, other",None,86 - Investigate,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,7,Inner Sunset,POINT (-122.467527 37.764804),2006-02-08T13:52:35.000,2024-04-27T02:16:45.000
06006058,0,060060580,69 Lapidge St.,2006-01-22T00:00:00.000,060220110,2006-01-22T09:04:46.000,2006-01-22T09:07:12.000,2006-01-22T09:19:16.000,SF,94110,B02,07,,1,4,0,0,0,0,E07,0,0,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,None,86 - Investigate,,,,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Mission,POINT (-122.4221023 37.76059609),2006-01-22T11:13:02.000,2024-04-27T02:16:45.000
06006069,0,060060690,Great Hy. / Sloat Bl.,2006-01-22T00:00:00.000,060220128,2006-01-22T10:04:17.000,2006-01-22T10:09:40.000,2006-01-22T11:36:00.000,SF,94132,B08,19,,2,5,2,3,0,0,E19,0,0,0,0,0,0,1,"311 - Medical assist, assist EMS crew",None,"30 - Emergency medical services, other",,,,937 - Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Sunset/Parkside,POINT (-122.506123 37.735476),2006-01-22T16:30:34.000,2024-04-27T02:16:45.000
06006076,0,060060760,1510 Eddy St.,2006-01-22T00:00:00.000,060220138,2006-01-22T10:31:43.000,2006-01-22T10:34:28.000,2006-01-22T10:41:15.000,SF,94115,B05,05,,3,11,0,0,0,0,T05,0,0,0,0,0,0,1,"113 - Cooking fire, confined to container",None,86 - Investigate,,,1 - Detector alerted occupants,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.432579 37.781467),2006-01-22T22:36:01.000,2024-04-27T02:16:45.000
06006087,0,060060870,1 101nb 3rd St Of,2006-01-22T00:00:00.000,060220154,2006-01-22T11:21:58.000,2006-01-22T11:28:57.000,2006-01-22T11:29:22.000,SF,94134,B10,44,,1,4,0,0,0,0,E44,0,0,0,0,0,0,1,"900 - Special type of incident, other",None,86 - Investigate,,,,UUU - Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.397667 37.714914),2006-01-22T21:42:43.000,2024-04-27T02:16:45.000
06006089,0,060060890,600 Duboce Av.,2006-01-22T00:00:00.000,060220156,2006-01-22T11:27:23.000,2006-01-22T11:31:51.000,2006-01-22T11:46:22.000,SF,94114,B05,06,,1,4,0,0,0,0,E06,0,0,0,0,0,0,1,551 - Assist PD or other Govern. Agency,None,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,8,Haight Ashbury,POINT (-122.431604041 37.769358815),2006-01-22T16:24:16.000,2024-04-27T02:16:45.000
06006096,0,060060960,1315 Polk St.,2006-01-22T00:00:00.000,060220164,2006-01-22T11:43:57.000,2006-01-22T11:44:47.000,2006-01-22T11:50:29.000,SF,94102,B04,03,,3,12,0,0,0,0,E03,1,1,0,0,0,0,1,"113 - Cooking fire, confined to container",None,86 - Investigate,,,U - Unknown,429 - Multifamily dwellings,"24 - Cooking area, kitchen",2 - Unintentional,11 - Abandoned or discarded materials or p,,13 - Arcing,"76 - Cooking materials, inc. Edible materi",N - None,1 -Enclosed building,4 -Under major renovation,3,,1,1,0,0,0,N -Not present,,,,,N -None Present,,,,0,3,Nob Hill,POINT (-122.42044 37.788921),2006-01-22T15:45:54.000,2024-04-27T02:16:45.000
06006104,0,060061040,1758 32nd Av.,2006-01-22T00:00:00.000,060220172,2006-01-22T12:35:10.000,2006-01-22T12:38:51.000,2006-01-22T12:41:24.000,SF,94122,B08,18,,1,4,0,0,0,0,E18,0,0,0,0,0,0,1,554 - Assist invalid,None,71 - Assist physically disabled,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Sunset/Parkside,POINT (-122.49037 37.754403),2006-02-02T18:33:12.000,2024-04-27T02:16:45.000
06006109,0,060061090,Sansome St. / Vallejo St.,2006-01-22T00:00:00.000,060220177,2006-01-22T12:57:45.000,2006-01-22T12:59:35.000,2006-01-22T13:54:18.000,SF,94104,B01,13,,2,9,0,0,0,0,E13,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,,,,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,3,North Beach,POINT (-122.402423 37.799383),2006-01-22T15:35:00.000,2024-04-27T02:16:45.000
06006111,0,060061110,3415 22nd St.,2006-01-22T00:00:00.000,060220181,2006-01-22T13:03:37.000,2006-01-22T13:06:54.000,2006-01-22T13:18:56.000,SF,94110,B06,11,,3,10,0,0,0,0,E11,0,0,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,None,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Mission,POINT (-122.423518 37.755081),2006-01-22T18:50:14.000,2024-04-27T02:16:45.000
06006117,0,060061170,620 Post St.,2006-01-22T00:00:00.000,060220193,2006-01-22T13:26:10.000,2006-01-22T13:28:53.000,2006-01-22T13:37:56.000,SF,94133,B01,03,,3,12,0,0,0,0,E03,0,0,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,None,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Nob Hill,POINT (-122.412097 37.787891),2006-01-22T15:47:29.000,2024-04-27T02:16:45.000
06006119,0,060061190,2924 Anza St.,2006-01-22T00:00:00.000,060220195,2006-01-22T13:29:48.000,2006-01-22T13:34:15.000,2006-01-22T13:44:43.000,SF,94121,B07,14,,1,4,0,0,0,0,E14,0,0,0,0,0,0,1,"500 - Service Call, other",None,"00 - Action taken, other",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,1,Outer Richmond,POINT (-122.47979164 37.77863173),2006-01-22T16:39:07.000,2024-04-27T02:16:45.000
06006124,0,060061240,915 Columbus Av.,2006-01-22T00:00:00.000,060220203,2006-01-22T13:55:44.000,2006-01-22T13:58:23.000,2006-01-22T14:01:53.000,SF,94133,B01,28,,3,12,0,0,0,0,E28,1,1,0,0,0,0,1,"113 - Cooking fire, confined to container",None,11 - Extinguish,,,U - Unknown,429 - Multifamily dwellings,"24 - Cooking area, kitchen",2 - Unintentional,12 - Heat source too close to combustibles,,"10 - Heat from powered equipment, other","76 - Cooking materials, inc. Edible materi",N - None,1 -Enclosed building,2 -In normal use,2,,1,1,0,0,0,U -Undetermined,,,,,N -None Present,,,,0,3,Russian Hill,POINT (-122.414334 37.802895),2006-01-22T15:50:16.000,2024-04-27T02:16:45.000
06006129,0,060061290,100 Marina Bl.,2006-01-22T00:00:00.000,060220209,2006-01-22T14:15:54.000,2006-01-22T14:19:55.000,2006-01-22T14:20:29.000,SF,94123,B04,16,,1,4,0,0,0,0,T16,0,0,0,0,0,0,1,"500 - Service Call, other",None,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,2,Marina,POINT (-122.433813 37.80512),2006-02-01T12:14:40.000,2024-04-27T02:16:45.000
06006130,0,060061300,55 Park St.,2006-01-22T00:00:00.000,060220210,2006-01-22T14:16:26.000,2006-01-22T14:19:53.000,2006-01-22T14:26:14.000,SF,94110,B06,32,,3,10,0,0,0,0,B06,0,0,0,0,0,0,1,745 - Alarm system sounded/no fire-accidental,None,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Bernal Heights,POINT (-122.42493938 37.73690137),2006-01-22T18:52:03.000,2024-04-27T02:16:45.000
06006135,0,060061350,1205 10th Av.,2006-01-22T00:00:00.000,060220217,2006-01-22T14:45:39.000,2006-01-22T14:49:16.000,2006-01-22T14:54:16.000,SF,94122,B08,22,,3,10,0,0,0,0,E22,0,0,0,0,0,0,1,735 - Alarm system sounded due to malfunction,None,63 - Restore fire alarm system,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,7,Inner Sunset,POINT (-122.4663699 37.76587077),2006-01-22T16:28:14.000,2024-04-27T02:16:45.000
06006137,0,060061370,1550 The Embarcadero Nor,2006-01-22T00:00:00.000,060220219,2006-01-22T14:46:38.000,2006-01-22T14:49:04.000,2006-01-22T14:50:30.000,SF,94133,B01,28,,3,12,0,0,0,0,B01,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,North Beach,POINT (-122.404263 37.805961),2006-01-22T15:51:27.000,2024-04-27T02:16:45.000
06006143,0,060061430,19th St. / Castro St.,2006-01-22T00:00:00.000,060220226,2006-01-22T15:20:38.000,2006-01-22T15:24:51.000,2006-01-22T15:26:53.000,SF,94114,B06,06,,1,4,0,0,0,0,E06,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,8,Castro/Upper Market,POINT (-122.434854 37.759289),2006-01-22T16:22:36.000,2024-04-27T02:16:45.000
06006145,0,060061450,La Salle Av. / Newcomb Av.,2006-01-22T00:00:00.000,060220228,2006-01-22T15:25:11.000,2006-01-22T15:28:20.000,2006-01-22T15:31:40.000,SF,94124,B10,17,,2,9,0,0,0,0,E17,0,0,0,0,0,0,1,"118 - Trash or rubbish fire, contained",None,86 - Investigate,,,U - Unknown,931 - Open land or field,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.385006 37.733072),2006-01-22T17:28:20.000,2024-04-27T02:16:45.000
06006154,0,060061540,Franklin St. / Union St.,2006-01-22T00:00:00.000,060220239,2006-01-22T15:53:06.000,2006-01-22T15:57:39.000,2006-01-22T16:18:59.000,SF,94123,B04,16,,1,4,0,0,0,0,M28,0,0,0,0,0,0,1,323 - Auto/Ped. Accident (Veh.),None,31 - Provide first aid & check for injuries,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,2,Marina,POINT (-122.425628 37.798342),2006-01-22T20:44:41.000,2024-04-27T02:16:45.000
06006155,0,060061550,Jamestown Av. / Jennings St.,2006-01-22T00:00:00.000,060220240,2006-01-22T15:54:54.000,2006-01-22T15:58:26.000,2006-01-22T15:58:36.000,SF,94134,B10,44,,2,9,0,0,0,0,E44,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,,,,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.395431 37.719558),2006-01-22T21:44:45.000,2024-04-27T02:16:45.000
06006158,0,060061580,Mission St. / Sickles Av.,2006-01-22T00:00:00.000,060220243,2006-01-22T16:00:27.000,2006-01-22T16:03:15.000,2006-01-22T16:03:38.000,SF,94112,B09,33,,2,9,0,0,0,0,E33,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,11,Excelsior,POINT (-122.452664 37.708805),2006-01-23T07:45:32.000,2024-04-27T02:16:45.000
06006160,0,060061600,Filbert St. / Stockton St.,2006-01-22T00:00:00.000,060220245,2006-01-22T16:04:32.000,2006-01-22T16:04:32.000,2006-01-22T16:07:06.000,SF,94133,B01,28,,1,4,0,0,0,0,E28,0,0,0,0,0,0,1,"510 - Person in distress, other",None,"70 - Assistance, other",,,,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,North Beach,POINT (-122.409373 37.801369),2006-01-22T16:51:36.000,2024-04-27T02:16:45.000
06006163,0,060061630,747 Howard St.,2006-01-22T00:00:00.000,060220248,2006-01-22T16:18:49.000,2006-01-22T16:20:41.000,2006-01-22T16:37:35.000,SF,94105,B03,01,,3,11,0,0,0,0,E01,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,,,,"122 - Convention center, exhibition hall",,,,,,,,,,,,,,,,,,,,,,,,,,,6,South of Market,POINT (-122.400813 37.783513),2006-01-22T19:04:15.000,2024-04-27T02:16:45.000
06006166,0,060061660,529 Broderick St.,2006-01-22T00:00:00.000,060220251,2006-01-22T16:28:01.000,2006-01-22T16:28:01.000,2006-01-22T16:38:56.000,SF,94117,B05,21,,1,4,0,0,0,0,E21,0,0,0,0,0,0,1,"500 - Service Call, other",None,"70 - Assistance, other",,,,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Hayes Valley,POINT (-122.43990713 37.77516893),2006-01-22T21:14:14.000,2024-04-27T02:16:45.000
06006167,0,060061670,30th St. / San Jose Av.,2006-01-22T00:00:00.000,060220252,2006-01-22T16:34:35.000,2006-01-22T16:36:59.000,2006-01-22T16:39:32.000,SF,94110,B06,32,,2,9,0,0,0,0,E32,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,8,Noe Valley,POINT (-122.423287 37.742296),2006-01-22T18:09:11.000,2024-04-27T02:16:45.000